YEAR,VAL
1990,177001298.2
1991,178456375.9
1992,178407187.9
1993,179404630.1
1994,179736720.8
1995,185570048.4
1996,189079441
1997,191974727.5
1998,193239974.7
1999,193751437
2000,200200859.7
2001,204400237.4
2002,208303503.9
2003,219702332
2004,231593925.8
2005,242088206.4
2006,252144856.2
2007,262914274.2
2008,266556796.2
2009,266027008.4
2010,283120152.3
2011,294790502.5
2012,300101376.3
2013,306783590
2014,308215375.1
2015,306396775
2016,307293110.2
2017,313124667.8
2018,321340582.6
2019,323407936.3
